"","Country.Region","date","CumCaseNumber","IncCaseNumber"
"116","Afghanistan",2020-05-17,6664,262
"117","Afghanistan",2020-05-18,7072,408
"118","Afghanistan",2020-05-19,7653,581
"119","Afghanistan",2020-05-20,8145,492
"120","Afghanistan",2020-05-21,8676,531
"121","Afghanistan",2020-05-22,9216,540
"122","Afghanistan",2020-05-23,9998,782
"123","Afghanistan",2020-05-24,10582,584
"124","Afghanistan",2020-05-25,11173,591
"125","Afghanistan",2020-05-26,11831,658
"126","Afghanistan",2020-05-27,12456,625
"127","Afghanistan",2020-05-28,13036,580
"128","Afghanistan",2020-05-29,13659,623
"129","Afghanistan",2020-05-30,14525,866
"130","Afghanistan",2020-05-31,15205,680
"131","Afghanistan",2020-06-01,15750,545
"132","Afghanistan",2020-06-02,16509,759
"133","Afghanistan",2020-06-03,17267,758
"134","Afghanistan",2020-06-04,18054,787
"135","Afghanistan",2020-06-05,18969,915
"136","Afghanistan",2020-06-06,19551,582
"137","Afghanistan",2020-06-07,20342,791
"138","Afghanistan",2020-06-08,20917,575
"139","Afghanistan",2020-06-09,21459,542
"140","Afghanistan",2020-06-10,22142,683
"141","Afghanistan",2020-06-11,22890,748
"142","Afghanistan",2020-06-12,23546,656
"143","Afghanistan",2020-06-13,24102,556
"144","Afghanistan",2020-06-14,24766,664
"145","Afghanistan",2020-06-15,25527,761
"146","Afghanistan",2020-06-16,26310,783
"147","Afghanistan",2020-06-17,26874,564
"148","Afghanistan",2020-06-18,27532,658
"149","Afghanistan",2020-06-19,27878,346
"150","Afghanistan",2020-06-20,28424,546
"151","Afghanistan",2020-06-21,28833,409
"152","Afghanistan",2020-06-22,29157,324
"153","Afghanistan",2020-06-23,29481,324
"154","Afghanistan",2020-06-24,29640,159
"155","Afghanistan",2020-06-25,30175,535
"156","Afghanistan",2020-06-26,30451,276
"157","Afghanistan",2020-06-27,30616,165
"158","Afghanistan",2020-06-28,30967,351
"159","Afghanistan",2020-06-29,31238,271
"160","Afghanistan",2020-06-30,31517,279
"161","Afghanistan",2020-07-01,31836,319
"162","Afghanistan",2020-07-02,32022,186
"163","Afghanistan",2020-07-03,32324,302
"164","Afghanistan",2020-07-04,32672,348
"165","Afghanistan",2020-07-05,32951,279
"166","Afghanistan",2020-07-06,33190,239
"167","Afghanistan",2020-07-07,33384,194
"168","Afghanistan",2020-07-08,33594,210
"169","Afghanistan",2020-07-09,33908,314
"170","Afghanistan",2020-07-10,34194,286
"171","Afghanistan",2020-07-11,34366,172
"172","Afghanistan",2020-07-12,34451,85
"173","Afghanistan",2020-07-13,34455,4
"174","Afghanistan",2020-07-14,34740,285
"175","Afghanistan",2020-07-15,34994,254
"176","Afghanistan",2020-07-16,35070,76
"177","Afghanistan",2020-07-17,35229,159
"178","Afghanistan",2020-07-18,35301,72
"179","Afghanistan",2020-07-19,35475,174
"180","Afghanistan",2020-07-20,35526,51
"181","Afghanistan",2020-07-21,35615,89
"182","Afghanistan",2020-07-22,35727,112
"183","Afghanistan",2020-07-23,35928,201
"184","Afghanistan",2020-07-24,35981,53
"185","Afghanistan",2020-07-25,36036,55
"186","Afghanistan",2020-07-26,36157,121
"187","Albania",2020-01-23,0,0
"188","Albania",2020-01-24,0,0
"189","Albania",2020-01-25,0,0
"190","Albania",2020-01-26,0,0
"191","Albania",2020-01-27,0,0
"192","Albania",2020-01-28,0,0
"193","Albania",2020-01-29,0,0
"194","Albania",2020-01-30,0,0
"195","Albania",2020-01-31,0,0
"196","Albania",2020-02-01,0,0
"197","Albania",2020-02-02,0,0
"198","Albania",2020-02-03,0,0
"199","Albania",2020-02-04,0,0
"200","Albania",2020-02-05,0,0
"201","Albania",2020-02-06,0,0
"202","Albania",2020-02-07,0,0
"203","Albania",2020-02-08,0,0
"204","Albania",2020-02-09,0,0
"205","Albania",2020-02-10,0,0
"206","Albania",2020-02-11,0,0
"207","Albania",2020-02-12,0,0
"208","Albania",2020-02-13,0,0
"209","Albania",2020-02-14,0,0
"210","Albania",2020-02-15,0,0
"211","Albania",2020-02-16,0,0
"212","Albania",2020-02-17,0,0
"213","Albania",2020-02-18,0,0
"214","Albania",2020-02-19,0,0
"215","Albania",2020-02-20,0,0
"216","Albania",2020-02-21,0,0
"217","Albania",2020-02-22,0,0
"218","Albania",2020-02-23,0,0
"219","Albania",2020-02-24,0,0
"220","Albania",2020-02-25,0,0
"221","Albania",2020-02-26,0,0
"222","Albania",2020-02-27,0,0
"223","Albania",2020-02-28,0,0
"224","Albania",2020-02-29,0,0
"225","Albania",2020-03-01,0,0
"226","Albania",2020-03-02,0,0
"227","Albania",2020-03-03,0,0
"228","Albania",2020-03-04,0,0
"229","Albania",2020-03-05,0,0
"230","Albania",2020-03-06,0,0
"231","Albania",2020-03-07,0,0
"232","Albania",2020-03-08,0,0
"233","Albania",2020-03-09,2,2
"234","Albania",2020-03-10,10,8
"235","Albania",2020-03-11,12,2
"236","Albania",2020-03-12,23,11
"237","Albania",2020-03-13,33,10
"238","Albania",2020-03-14,38,5
"239","Albania",2020-03-15,42,4
"240","Albania",2020-03-16,51,9
"241","Albania",2020-03-17,55,4
"242","Albania",2020-03-18,59,4
"243","Albania",2020-03-19,64,5
"244","Albania",2020-03-20,70,6
"245","Albania",2020-03-21,76,6
"246","Albania",2020-03-22,89,13
"247","Albania",2020-03-23,104,15
"248","Albania",2020-03-24,123,19
"249","Albania",2020-03-25,146,23
"250","Albania",2020-03-26,174,28
"251","Albania",2020-03-27,186,12
"252","Albania",2020-03-28,197,11
"253","Albania",2020-03-29,212,15
"254","Albania",2020-03-30,223,11
"255","Albania",2020-03-31,243,20
"256","Albania",2020-04-01,259,16
"257","Albania",2020-04-02,277,18
"258","Albania",2020-04-03,304,27
"259","Albania",2020-04-04,333,29
"260","Albania",2020-04-05,361,28
"261","Albania",2020-04-06,377,16
"262","Albania",2020-04-07,383,6
"263","Albania",2020-04-08,400,17
"264","Albania",2020-04-09,409,9
"265","Albania",2020-04-10,416,7
"266","Albania",2020-04-11,433,17
"267","Albania",2020-04-12,446,13
"268","Albania",2020-04-13,467,21
"269","Albania",2020-04-14,475,8
"270","Albania",2020-04-15,494,19
"271","Albania",2020-04-16,518,24
"272","Albania",2020-04-17,539,21
"273","Albania",2020-04-18,548,9
"274","Albania",2020-04-19,562,14
"275","Albania",2020-04-20,584,22
"276","Albania",2020-04-21,609,25
"277","Albania",2020-04-22,634,25
"278","Albania",2020-04-23,663,29
"279","Albania",2020-04-24,678,15
"280","Albania",2020-04-25,712,34
"281","Albania",2020-04-26,726,14
"282","Albania",2020-04-27,736,10
"283","Albania",2020-04-28,750,14
"284","Albania",2020-04-29,766,16
"285","Albania",2020-04-30,773,7
"286","Albania",2020-05-01,782,9
"287","Albania",2020-05-02,789,7
"288","Albania",2020-05-03,795,6
"289","Albania",2020-05-04,803,8
"290","Albania",2020-05-05,820,17
"291","Albania",2020-05-06,832,12
"292","Albania",2020-05-07,842,10
"293","Albania",2020-05-08,850,8
"294","Albania",2020-05-09,856,6
"295","Albania",2020-05-10,868,12
"296","Albania",2020-05-11,872,4
"297","Albania",2020-05-12,876,4
"298","Albania",2020-05-13,880,4
"299","Albania",2020-05-14,898,18
"300","Albania",2020-05-15,916,18
"301","Albania",2020-05-16,933,17
"302","Albania",2020-05-17,946,13
"303","Albania",2020-05-18,948,2
"304","Albania",2020-05-19,949,1
"305","Albania",2020-05-20,964,15
"306","Albania",2020-05-21,969,5
"307","Albania",2020-05-22,981,12
"308","Albania",2020-05-23,989,8
"309","Albania",2020-05-24,998,9
"310","Albania",2020-05-25,1004,6
"311","Albania",2020-05-26,1029,25
"312","Albania",2020-05-27,1050,21
"313","Albania",2020-05-28,1076,26
"314","Albania",2020-05-29,1099,23
"315","Albania",2020-05-30,1122,23
"316","Albania",2020-05-31,1137,15
"317","Albania",2020-06-01,1143,6
"318","Albania",2020-06-02,1164,21
"319","Albania",2020-06-03,1184,20
"320","Albania",2020-06-04,1197,13
"321","Albania",2020-06-05,1212,15
"322","Albania",2020-06-06,1232,20
"323","Albania",2020-06-07,1246,14
"324","Albania",2020-06-08,1263,17
"325","Albania",2020-06-09,1299,36
"326","Albania",2020-06-10,1341,42
"327","Albania",2020-06-11,1385,44
"328","Albania",2020-06-12,1416,31
"329","Albania",2020-06-13,1464,48
"330","Albania",2020-06-14,1521,57
"331","Albania",2020-06-15,1590,69
"332","Albania",2020-06-16,1672,82
"333","Albania",2020-06-17,1722,50
"334","Albania",2020-06-18,1788,66
"335","Albania",2020-06-19,1838,50
"336","Albania",2020-06-20,1891,53
"337","Albania",2020-06-21,1962,71
"338","Albania",2020-06-22,1995,33
"339","Albania",2020-06-23,2047,52
"340","Albania",2020-06-24,2114,67
"341","Albania",2020-06-25,2192,78
"342","Albania",2020-06-26,2269,77
"343","Albania",2020-06-27,2330,61
"344","Albania",2020-06-28,2402,72
"345","Albania",2020-06-29,2466,64
"346","Albania",2020-06-30,2535,69
"347","Albania",2020-07-01,2580,45
"348","Albania",2020-07-02,2662,82
"349","Albania",2020-07-03,2752,90
"350","Albania",2020-07-04,2819,67
"351","Albania",2020-07-05,2893,74
"352","Albania",2020-07-06,2964,71
"353","Albania",2020-07-07,3038,74
"354","Albania",2020-07-08,3106,68
"355","Albania",2020-07-09,3188,82
"356","Albania",2020-07-10,3278,90
"357","Albania",2020-07-11,3371,93
"358","Albania",2020-07-12,3454,83
"359","Albania",2020-07-13,3571,117
"360","Albania",2020-07-14,3667,96
"361","Albania",2020-07-15,3752,85
"362","Albania",2020-07-16,3851,99
"363","Albania",2020-07-17,3906,55
"364","Albania",2020-07-18,4008,102
"365","Albania",2020-07-19,4090,82
"366","Albania",2020-07-20,4171,81
"367","Albania",2020-07-21,4290,119
"368","Albania",2020-07-22,4358,68
"369","Albania",2020-07-23,4466,108
"370","Albania",2020-07-24,4570,104
"371","Albania",2020-07-25,4637,67
"372","Albania",2020-07-26,4763,126
"373","Algeria",2020-01-23,0,0
"374","Algeria",2020-01-24,0,0
"375","Algeria",2020-01-25,0,0
"376","Algeria",2020-01-26,0,0
"377","Algeria",2020-01-27,0,0
"378","Algeria",2020-01-28,0,0
"379","Algeria",2020-01-29,0,0
"380","Algeria",2020-01-30,0,0
"381","Algeria",2020-01-31,0,0
"382","Algeria",2020-02-01,0,0
"383","Algeria",2020-02-02,0,0
"384","Algeria",2020-02-03,0,0
"385","Algeria",2020-02-04,0,0
"386","Algeria",2020-02-05,0,0
"387","Algeria",2020-02-06,0,0
"388","Algeria",2020-02-07,0,0
"389","Algeria",2020-02-08,0,0
"390","Algeria",2020-02-09,0,0
"391","Algeria",2020-02-10,0,0
"392","Algeria",2020-02-11,0,0
"393","Algeria",2020-02-12,0,0
"394","Algeria",2020-02-13,0,0
"395","Algeria",2020-02-14,0,0
"396","Algeria",2020-02-15,0,0
"397","Algeria",2020-02-16,0,0
"398","Algeria",2020-02-17,0,0
"399","Algeria",2020-02-18,0,0
"400","Algeria",2020-02-19,0,0
"401","Algeria",2020-02-20,0,0
"402","Algeria",2020-02-21,0,0
"403","Algeria",2020-02-22,0,0
"404","Algeria",2020-02-23,0,0
"405","Algeria",2020-02-24,0,0
"406","Algeria",2020-02-25,1,1
"407","Algeria",2020-02-26,1,0
"408","Algeria",2020-02-27,1,0
"409","Algeria",2020-02-28,1,0
"410","Algeria",2020-02-29,1,0
"411","Algeria",2020-03-01,1,0
"412","Algeria",2020-03-02,3,2
"413","Algeria",2020-03-03,5,2
"414","Algeria",2020-03-04,12,7
"415","Algeria",2020-03-05,12,0
"416","Algeria",2020-03-06,17,5
"417","Algeria",2020-03-07,17,0
"418","Algeria",2020-03-08,19,2
"419","Algeria",2020-03-09,20,1
"420","Algeria",2020-03-10,20,0
"421","Algeria",2020-03-11,20,0
"422","Algeria",2020-03-12,24,4
"423","Algeria",2020-03-13,26,2
"424","Algeria",2020-03-14,37,11
"425","Algeria",2020-03-15,48,11
"426","Algeria",2020-03-16,54,6
"427","Algeria",2020-03-17,60,6
"428","Algeria",2020-03-18,74,14
"429","Algeria",2020-03-19,87,13
"430","Algeria",2020-03-20,90,3
"431","Algeria",2020-03-21,139,49
"432","Algeria",2020-03-22,201,62
"433","Algeria",2020-03-23,230,29
"434","Algeria",2020-03-24,264,34
"435","Algeria",2020-03-25,302,38
"436","Algeria",2020-03-26,367,65
"437","Algeria",2020-03-27,409,42
"438","Algeria",2020-03-28,454,45
"439","Algeria",2020-03-29,511,57
"440","Algeria",2020-03-30,584,73
"441","Algeria",2020-03-31,716,132
"442","Algeria",2020-04-01,847,131
"443","Algeria",2020-04-02,986,139
"444","Algeria",2020-04-03,1171,185
"445","Algeria",2020-04-04,1251,80
"446","Algeria",2020-04-05,1320,69
"447","Algeria",2020-04-06,1423,103
"448","Algeria",2020-04-07,1468,45
"449","Algeria",2020-04-08,1572,104
"450","Algeria",2020-04-09,1666,94
"451","Algeria",2020-04-10,1761,95
"452","Algeria",2020-04-11,1825,64
"453","Algeria",2020-04-12,1914,89
"454","Algeria",2020-04-13,1983,69
"455","Algeria",2020-04-14,2070,87
"456","Algeria",2020-04-15,2160,90
"457","Algeria",2020-04-16,2268,108
"458","Algeria",2020-04-17,2418,150
"459","Algeria",2020-04-18,2534,116
"460","Algeria",2020-04-19,2629,95
"461","Algeria",2020-04-20,2718,89
"462","Algeria",2020-04-21,2811,93
"463","Algeria",2020-04-22,2910,99
"464","Algeria",2020-04-23,3007,97
"465","Algeria",2020-04-24,3127,120
"466","Algeria",2020-04-25,3256,129
"467","Algeria",2020-04-26,3382,126
"468","Algeria",2020-04-27,3517,135
"469","Algeria",2020-04-28,3649,132
"470","Algeria",2020-04-29,3848,199
"471","Algeria",2020-04-30,4006,158
"472","Algeria",2020-05-01,4154,148
"473","Algeria",2020-05-02,4295,141
"474","Algeria",2020-05-03,4474,179
"475","Algeria",2020-05-04,4648,174
"476","Algeria",2020-05-05,4838,190
"477","Algeria",2020-05-06,4997,159
"478","Algeria",2020-05-07,5182,185
"479","Algeria",2020-05-08,5369,187
"480","Algeria",2020-05-09,5558,189
"481","Algeria",2020-05-10,5723,165
"482","Algeria",2020-05-11,5891,168
"483","Algeria",2020-05-12,6067,176
"484","Algeria",2020-05-13,6253,186
"485","Algeria",2020-05-14,6442,189
"486","Algeria",2020-05-15,6629,187
"487","Algeria",2020-05-16,6821,192
"488","Algeria",2020-05-17,7019,198
"489","Algeria",2020-05-18,7201,182
"490","Algeria",2020-05-19,7377,176
"491","Algeria",2020-05-20,7542,165
"492","Algeria",2020-05-21,7728,186
"493","Algeria",2020-05-22,7918,190
"494","Algeria",2020-05-23,8113,195
"495","Algeria",2020-05-24,8306,193
"496","Algeria",2020-05-25,8503,197
"497","Algeria",2020-05-26,8697,194
"498","Algeria",2020-05-27,8857,160
"499","Algeria",2020-05-28,8997,140
"500","Algeria",2020-05-29,9134,137
"501","Algeria",2020-05-30,9267,133
"502","Algeria",2020-05-31,9394,127
"503","Algeria",2020-06-01,9513,119
"504","Algeria",2020-06-02,9626,113
"505","Algeria",2020-06-03,9733,107
"506","Algeria",2020-06-04,9831,98
"507","Algeria",2020-06-05,9935,104
"508","Algeria",2020-06-06,10050,115
"509","Algeria",2020-06-07,10154,104
"510","Algeria",2020-06-08,10265,111
"511","Algeria",2020-06-09,10382,117
"512","Algeria",2020-06-10,10484,102
"513","Algeria",2020-06-11,10589,105
"514","Algeria",2020-06-12,10698,109
"515","Algeria",2020-06-13,10810,112
"516","Algeria",2020-06-14,10919,109
"517","Algeria",2020-06-15,11031,112
"518","Algeria",2020-06-16,11147,116
"519","Algeria",2020-06-17,11268,121
"520","Algeria",2020-06-18,11385,117
"521","Algeria",2020-06-19,11504,119
"522","Algeria",2020-06-20,11631,127
"523","Algeria",2020-06-21,11771,140
"524","Algeria",2020-06-22,11920,149
"525","Algeria",2020-06-23,12076,156
"526","Algeria",2020-06-24,12248,172
"527","Algeria",2020-06-25,12445,197
"528","Algeria",2020-06-26,12685,240
"529","Algeria",2020-06-27,12968,283
"530","Algeria",2020-06-28,13273,305
"531","Algeria",2020-06-29,13571,298
"532","Algeria",2020-06-30,13907,336
"533","Algeria",2020-07-01,14272,365
"534","Algeria",2020-07-02,14657,385
"535","Algeria",2020-07-03,15070,413
"536","Algeria",2020-07-04,15500,430
"537","Algeria",2020-07-05,15941,441
"538","Algeria",2020-07-06,16404,463
"539","Algeria",2020-07-07,16879,475
"540","Algeria",2020-07-08,17348,469
"541","Algeria",2020-07-09,17808,460
"542","Algeria",2020-07-10,18242,434
"543","Algeria",2020-07-11,18712,470
"544","Algeria",2020-07-12,19195,483
"545","Algeria",2020-07-13,19689,494
"546","Algeria",2020-07-14,20216,527
"547","Algeria",2020-07-15,20770,554
"548","Algeria",2020-07-16,21355,585
"549","Algeria",2020-07-17,21948,593
"550","Algeria",2020-07-18,22549,601
"551","Algeria",2020-07-19,23084,535
"552","Algeria",2020-07-20,23691,607
"553","Algeria",2020-07-21,24278,587
"554","Algeria",2020-07-22,24872,594
"555","Algeria",2020-07-23,25484,612
"556","Algeria",2020-07-24,26159,675
"557","Algeria",2020-07-25,26764,605
"558","Algeria",2020-07-26,27357,593
"559","Andorra",2020-01-23,0,0
"560","Andorra",2020-01-24,0,0
"561","Andorra",2020-01-25,0,0
"562","Andorra",2020-01-26,0,0
"563","Andorra",2020-01-27,0,0
"564","Andorra",2020-01-28,0,0
"565","Andorra",2020-01-29,0,0
"566","Andorra",2020-01-30,0,0
"567","Andorra",2020-01-31,0,0
"568","Andorra",2020-02-01,0,0
"569","Andorra",2020-02-02,0,0
"570","Andorra",2020-02-03,0,0
"571","Andorra",2020-02-04,0,0
"572","Andorra",2020-02-05,0,0
"573","Andorra",2020-02-06,0,0
"574","Andorra",2020-02-07,0,0
"575","Andorra",2020-02-08,0,0
"576","Andorra",2020-02-09,0,0
"577","Andorra",2020-02-10,0,0
"578","Andorra",2020-02-11,0,0
"579","Andorra",2020-02-12,0,0
"580","Andorra",2020-02-13,0,0
"581","Andorra",2020-02-14,0,0
"582","Andorra",2020-02-15,0,0
"583","Andorra",2020-02-16,0,0
"584","Andorra",2020-02-17,0,0
"585","Andorra",2020-02-18,0,0
"586","Andorra",2020-02-19,0,0
"587","Andorra",2020-02-20,0,0
"588","Andorra",2020-02-21,0,0
"589","Andorra",2020-02-22,0,0
"590","Andorra",2020-02-23,0,0
"591","Andorra",2020-02-24,0,0
"592","Andorra",2020-02-25,0,0
"593","Andorra",2020-02-26,0,0
"594","Andorra",2020-02-27,0,0
"595","Andorra",2020-02-28,0,0
"596","Andorra",2020-02-29,0,0
"597","Andorra",2020-03-01,0,0
"598","Andorra",2020-03-02,1,1
"599","Andorra",2020-03-03,1,0
"600","Andorra",2020-03-04,1,0
"601","Andorra",2020-03-05,1,0
"602","Andorra",2020-03-06,1,0
"603","Andorra",2020-03-07,1,0
"604","Andorra",2020-03-08,1,0
"605","Andorra",2020-03-09,1,0
"606","Andorra",2020-03-10,1,0
"607","Andorra",2020-03-11,1,0
"608","Andorra",2020-03-12,1,0
"609","Andorra",2020-03-13,1,0
"610","Andorra",2020-03-14,1,0
"611","Andorra",2020-03-15,1,0
"612","Andorra",2020-03-16,2,1
"613","Andorra",2020-03-17,39,37
"614","Andorra",2020-03-18,39,0
"615","Andorra",2020-03-19,53,14
"616","Andorra",2020-03-20,75,22
"617","Andorra",2020-03-21,88,13
"618","Andorra",2020-03-22,113,25
"619","Andorra",2020-03-23,133,20
"620","Andorra",2020-03-24,164,31
"621","Andorra",2020-03-25,188,24
"622","Andorra",2020-03-26,224,36
"623","Andorra",2020-03-27,267,43
"624","Andorra",2020-03-28,308,41
"625","Andorra",2020-03-29,334,26
"626","Andorra",2020-03-30,370,36
"627","Andorra",2020-03-31,376,6
"628","Andorra",2020-04-01,390,14
"629","Andorra",2020-04-02,428,38
"630","Andorra",2020-04-03,439,11
"631","Andorra",2020-04-04,466,27
"632","Andorra",2020-04-05,501,35
"633","Andorra",2020-04-06,525,24
"634","Andorra",2020-04-07,545,20
"635","Andorra",2020-04-08,564,19
"636","Andorra",2020-04-09,583,19
"637","Andorra",2020-04-10,601,18
"638","Andorra",2020-04-11,601,0
"639","Andorra",2020-04-12,638,37
"640","Andorra",2020-04-13,646,8
"641","Andorra",2020-04-14,659,13
"642","Andorra",2020-04-15,673,14
"643","Andorra",2020-04-16,673,0
"644","Andorra",2020-04-17,696,23
"645","Andorra",2020-04-18,704,8
"646","Andorra",2020-04-19,713,9
"647","Andorra",2020-04-20,717,4
"648","Andorra",2020-04-21,717,0
"649","Andorra",2020-04-22,723,6
"650","Andorra",2020-04-23,723,0
"651","Andorra",2020-04-24,731,8
"652","Andorra",2020-04-25,738,7
"653","Andorra",2020-04-26,738,0
"654","Andorra",2020-04-27,743,5
"655","Andorra",2020-04-28,743,0
"656","Andorra",2020-04-29,743,0
"657","Andorra",2020-04-30,745,2
"658","Andorra",2020-05-01,745,0
"659","Andorra",2020-05-02,747,2
"660","Andorra",2020-05-03,748,1
"661","Andorra",2020-05-04,750,2
"662","Andorra",2020-05-05,751,1
"663","Andorra",2020-05-06,751,0
"664","Andorra",2020-05-07,752,1
"665","Andorra",2020-05-08,752,0
"666","Andorra",2020-05-09,754,2
"667","Andorra",2020-05-10,755,1
"668","Andorra",2020-05-11,755,0
"669","Andorra",2020-05-12,758,3
"670","Andorra",2020-05-13,760,2
"671","Andorra",2020-05-14,761,1
"672","Andorra",2020-05-15,761,0
"673","Andorra",2020-05-16,761,0
"674","Andorra",2020-05-17,761,0
"675","Andorra",2020-05-18,761,0
"676","Andorra",2020-05-19,761,0
"677","Andorra",2020-05-20,762,1
"678","Andorra",2020-05-21,762,0
"679","Andorra",2020-05-22,762,0
"680","Andorra",2020-05-23,762,0
"681","Andorra",2020-05-24,762,0
"682","Andorra",2020-05-25,763,1
"683","Andorra",2020-05-26,763,0
"684","Andorra",2020-05-27,763,0
"685","Andorra",2020-05-28,763,0
"686","Andorra",2020-05-29,764,1
"687","Andorra",2020-05-30,764,0
"688","Andorra",2020-05-31,764,0
"689","Andorra",2020-06-01,765,1
"690","Andorra",2020-06-02,844,79
"691","Andorra",2020-06-03,851,7
"692","Andorra",2020-06-04,852,1
"693","Andorra",2020-06-05,852,0
"694","Andorra",2020-06-06,852,0
"695","Andorra",2020-06-07,852,0
"696","Andorra",2020-06-08,852,0
"697","Andorra",2020-06-09,852,0
"698","Andorra",2020-06-10,852,0
"699","Andorra",2020-06-11,852,0
"700","Andorra",2020-06-12,853,1
"701","Andorra",2020-06-13,853,0
"702","Andorra",2020-06-14,853,0
"703","Andorra",2020-06-15,853,0
"704","Andorra",2020-06-16,854,1
"705","Andorra",2020-06-17,854,0
"706","Andorra",2020-06-18,855,1
"707","Andorra",2020-06-19,855,0
"708","Andorra",2020-06-20,855,0
"709","Andorra",2020-06-21,855,0
